http://statistics.gov.scot/def/education/refEstablishment,Reference Establishment,Academic year 2015-16,Academic year 2016-17,Academic year 2017-18,Academic year 2018-19,Academic year 2019-20,Academic year 2020-21,Academic year 2021-22
http://statistics.gov.scot/id/education/establishment/8628831,Gleniffer High School,69,65,71,76,81,78,68
http://statistics.gov.scot/id/education/establishment/8433836,Govan High School,*,52,75,74,55,*,68
http://statistics.gov.scot/id/education/establishment/8524734,Hamilton Grammar School,53,70,59,62,64,64,68
http://statistics.gov.scot/id/education/establishment/5447437,Lochgelly High School,54,40,55,63,70,67,68
http://statistics.gov.scot/id/education/establishment/8435839,Lourdes Secondary School,50,46,69,75,68,76,68
http://statistics.gov.scot/id/education/establishment/5231434,The Gordon Schools,53,64,64,58,66,72,68
http://statistics.gov.scot/id/education/establishment/8505438,Airdrie Academy,59,62,66,67,64,75,67
http://statistics.gov.scot/id/education/establishment/5547938,Beeslack Community High School,67,66,62,63,72,67,67
http://statistics.gov.scot/id/education/establishment/8235732,Belmont Academy,72,70,64,62,71,71,67
http://statistics.gov.scot/id/education/establishment/5758734,Bo'ness Academy,65,61,62,72,77,80,67
http://statistics.gov.scot/id/education/establishment/8236739,Carrick Academy,65,66,64,73,83,76,67
http://statistics.gov.scot/id/education/establishment/5619734,Galashiels Academy,47,56,66,60,63,63,67
http://statistics.gov.scot/id/education/establishment/8434530,Holyrood Secondary School,65,68,85,59,66,73,67
http://statistics.gov.scot/id/education/establishment/8640033,Inverclyde Academy,63,67,66,74,71,76,67
http://statistics.gov.scot/id/education/establishment/8217831,Kilwinning Academy,49,65,69,61,66,72,67
http://statistics.gov.scot/id/education/establishment/5446236,Queen Anne High School,73,73,66,67,66,59,67
http://statistics.gov.scot/id/education/establishment/5512530,St Margaret's Academy,72,73,68,76,77,78,67
http://statistics.gov.scot/id/education/establishment/8458030,Trinity High School,58,60,60,56,56,60,67
http://statistics.gov.scot/id/education/establishment/5120136,Alness Academy,61,66,60,58,63,66,66
http://statistics.gov.scot/id/education/establishment/8214638,Ardrossan Academy,68,61,62,68,63,62,66
http://statistics.gov.scot/id/education/establishment/8432031,Bellahouston Academy,62,61,66,58,60,65,66
http://statistics.gov.scot/id/education/establishment/8628939,Castlehead High School,71,70,68,66,66,70,66
http://statistics.gov.scot/id/education/establishment/8304130,Dumbarton Academy,69,66,56,64,52,60,66
http://statistics.gov.scot/id/education/establishment/8109931,Islay High School,78,51,53,67,53,47,66
http://statistics.gov.scot/id/education/establishment/5146038,Kingussie High School,71,79,82,78,68,69,66
http://statistics.gov.scot/id/education/establishment/8550034,Lanark Grammar School,51,64,60,57,69,76,66
http://statistics.gov.scot/id/education/establishment/8628432,Linwood High School,47,60,54,71,67,60,66
http://statistics.gov.scot/id/education/establishment/5153131,Nairn Academy,64,60,67,62,70,56,66
http://statistics.gov.scot/id/education/establishment/1004620,North West Community Campus,,,,36,47,55,66
http://statistics.gov.scot/id/education/establishment/5556139,Preston Lodge High School,54,53,52,49,45,60,66
http://statistics.gov.scot/id/education/establishment/5534038,St Augustine's High School,59,62,75,70,75,78,66
http://statistics.gov.scot/id/education/establishment/8645434,St Columba's High School,62,75,69,66,66,76,66
http://statistics.gov.scot/id/education/establishment/5307139,Arbroath High School,62,72,74,80,82,72,65
http://statistics.gov.scot/id/education/establishment/8530033,Calderglen High School,67,65,66,58,67,73,65
http://statistics.gov.scot/id/education/establishment/8458332,Cathkin High School,63,68,63,63,64,65,65
http://statistics.gov.scot/id/education/establishment/5632536,Hawick High School,49,51,51,39,54,60,65
